iter	RMSE
186	0.3954523341
187	0.3952880767
188	0.3950647324
189	0.3949077851
190	0.3946857426
191	0.3944926586
192	0.3943566725
193	0.3941946001
194	0.3939726826
195	0.3938133235
196	0.3935633135
197	0.3933760796
198	0.3932630031
199	0.3931377936
200	0.392973491
201	0.3928788514
202	0.3927454264
203	0.3926329682
204	0.3924245015
205	0.3922475765
206	0.3921500081
207	0.3919860118
208	0.3917142763
209	0.3916424318
210	0.3914801071
211	0.3913872103
212	0.3911867607
213	0.3909506787
214	0.390836747
215	0.3906963548
216	0.3906060317
217	0.3904628266
218	0.3903028527
219	0.3901711144
220	0.3898740774
221	0.3897110538
222	0.3896101594
223	0.3894824024
224	0.389326332
225	0.38920856
226	0.3890627519
227	0.3890047739
228	0.3888468848
229	0.3886246512
230	0.3884827114
231	0.3883525953
232	0.3882462476
233	0.3880498692
234	0.3879218291
235	0.3878195209
236	0.3877095514
237	0.3875395592
238	0.387353128
239	0.3872377224
240	0.3871196157
241	0.3870042233
242	0.3868914805
243	0.3867134095
244	0.3865955343
245	0.3865289675
246	0.3863956707
247	0.386253678
248	0.38614227
249	0.3860615088
250	0.3858730364
251	0.3857319336
252	0.3856300206
253	0.3853750934
254	0.3852953899
255	0.3851794738
256	0.385028134
257	0.3848428357
258	0.3847628321
259	0.3845961845
260	0.3843929631
261	0.3843137443
262	0.3842385459
263	0.3841325835
264	0.3840164799
265	0.3839477658
266	0.3838616728
267	0.3837823615
268	0.3837126008
269	0.3836042819
270	0.3834793
271	0.3833501112
272	0.3832222508
273	0.3830898035
274	0.3830123768
275	0.3829407041
276	0.3828415342
277	0.3827334838
278	0.3827012073
279	0.3825809171
280	0.3824886807
281	0.3823622902
282	0.3822092357
283	0.3821165174
284	0.3819894607
285	0.3818672511
286	0.3817101955
287	0.3816125819
288	0.3815659813
289	0.3814453419
290	0.3813475725
291	0.3812138804
292	0.3811072791
293	0.3809927394
294	0.3808784288
295	0.3808011019
296	0.3806977074
297	0.3805831163
298	0.380515291
299	0.3804448353
300	0.3803508778
301	0.3801977989
302	0.3801147142
303	0.3800054124
304	0.3799193309
305	0.3798449934
306	0.3797633865
307	0.3796214462
308	0.3795621662
309	0.3795272136
310	0.3795057181
311	0.3794183558
312	0.3793207019
313	0.3791874061
314	0.3790585181
315	0.3789325541
316	0.3788104389
317	0.3786957427
318	0.3786321853
319	0.3785450878
320	0.3784530043
321	0.3784055436
322	0.3783021401
323	0.3782361127
324	0.3781502146
325	0.3780632743
326	0.3780214292
327	0.3779093031
328	0.3778589786
329	0.3777735917
330	0.3776970981
331	0.377615918
332	0.3775144054
333	0.3774492005
334	0.37741427
335	0.3772999705
336	0.3772049879
337	0.3771298555
338	0.3770463467
339	0.3769889897
340	0.3769086408
341	0.3768059561
342	0.3766990308
343	0.3766443406
344	0.3765478363
345	0.3764091912
346	0.3763276876
347	0.3762159271
348	0.3761143041
349	0.376019729
350	0.3759377524
351	0.3758346479
352	0.3757008887
353	0.3756006379
354	0.375560712
355	0.3754978261
356	0.3754156859
357	0.3753237726
358	0.3752622425
359	0.375151988
360	0.3750831719
361	0.3749942488
362	0.3749149937
363	0.3748375448
364	0.3747097669
365	0.3746063302
366	0.3745391278
367	0.3744916605
368	0.3744347741
369	0.374373378
370	0.3743128316
371	0.3742087025
372	0.3741896146
373	0.3741188452
374	0.3740714803
375	0.3739936193
376	0.3738883333
377	0.3738029936
378	0.3737410601
379	0.3736627078
380	0.3735935384
381	0.373488845
382	0.3734322614
383	0.3733079679
384	0.3731868446
385	0.3731460863
386	0.3730745883
387	0.3730293902
388	0.3729684794
389	0.3728933939
390	0.3728346772
391	0.3727763508
392	0.3726524513
393	0.3725903298
394	0.3725311686
395	0.3724420207
396	0.3724013817
397	0.3723245379
398	0.3722523898
399	0.372144629
400	0.3720337109
401	0.3719434178
402	0.3718796244
403	0.3718055342
404	0.3717676332
405	0.3717090733
406	0.3716671833
407	0.3715456595
408	0.3715109686
409	0.3714659761
410	0.3713912207
411	0.3713395643
412	0.3712512813
413	0.3712120885
414	0.3711231575
415	0.371073964
416	0.3710285822
417	0.3709665989
418	0.3709208382
419	0.370870168
420	0.3708301751
421	0.3707654729
422	0.3707038341
423	0.3706433648
424	0.370596227
425	0.3705017907
426	0.3704497926
427	0.3703773103
428	0.3702668947
429	0.3702172302
430	0.3701694721
431	0.3701149219
432	0.3700175323
433	0.369961709
434	0.3699275467
435	0.3698804113
436	0.3698157139
437	0.3697837954
438	0.3697446739
439	0.3695985307
440	0.3695540825
441	0.36951359
442	0.3694192793
443	0.3693793067
444	0.3693281582
445	0.3692807403
446	0.3692127044
447	0.369109237
448	0.3690710291
449	0.3690172544
450	0.3689671946
451	0.3689043823
452	0.3688578941
453	0.3688230928
454	0.3687305201
455	0.3687025243
456	0.3686269971
457	0.3685573661
458	0.3685081984
459	0.3684419669
460	0.3683779603
461	0.3683370431
462	0.3682760119
463	0.3682255656
464	0.3681938229
465	0.3681511771
466	0.368078946
467	0.3680314305
468	0.367988987
469	0.3679312387
470	0.367885885
471	0.3678588651
472	0.3677880683
473	0.3677570384
474	0.3676701102
475	0.3675994425
476	0.3675697507
477	0.367540705
478	0.3674859491
479	0.3673984946
480	0.3673507213
481	0.3673173006
482	0.3672427467
483	0.3671660997
484	0.3671357732
485	0.367111843
486	0.3670731653
487	0.3670586141
488	0.3669834081
489	0.3669191798
490	0.3668443463
491	0.3667634644
492	0.3667157154
493	0.3666692803
494	0.3666299315
495	0.3665615274
496	0.366517201
497	0.3664186939
498	0.3663992963
499	0.3663596129
500	0.3663095823
501	0.3662507433
502	0.3662290839
503	0.3661670172
504	0.3661126841
505	0.3660702202
506	0.3660350237
507	0.3659835366
508	0.3659460589
509	0.3658847513
510	0.3658282079
511	0.3657853752
512	0.3657552354
513	0.3657133159
514	0.3656673187
515	0.3656201505
516	0.3655768407
517	0.3655286121
518	0.3654532793
519	0.3654031044
520	0.365350448
521	0.3652989724
522	0.3652337405
523	0.3652095892
524	0.3651794984
525	0.3651290602
526	0.3651009553
527	0.3650522839
528	0.3649905449
529	0.3648978099
530	0.3648080607
531	0.3647683309
532	0.3647239391
533	0.3645574598
534	0.3645011704
535	0.3644563911
536	0.3644374638
537	0.3643731591
538	0.364330025
539	0.3643071985
540	0.3642016123
541	0.3641427872
542	0.3640828531
543	0.3639997814
544	0.3639256606
545	0.3638767009
546	0.3638215555
547	0.3637559738
548	0.3637023502
549	0.3636494188
550	0.3635964983
551	0.3635515213
552	0.3635262183
553	0.3634455043
554	0.3634238841
555	0.363387455
556	0.3633037694
557	0.3632754088
558	0.3632556972
559	0.3631947657
560	0.3631717989
561	0.3631114015
562	0.3630906918
563	0.3630330578
564	0.3629791055
565	0.3629543444
566	0.3629185534
567	0.3629036528
568	0.3628523369
569	0.3628423432
570	0.3627824029
571	0.3627578379
572	0.3627306407
573	0.3627114619
574	0.3626789837
575	0.3626576619
576	0.3626310696
577	0.3625791299
578	0.3625591152
579	0.3624669008
580	0.3624284153
581	0.3623835744
582	0.3623606515
583	0.3623177139
584	0.362287601
585	0.3622663867
586	0.3622055728
587	0.3621498793
588	0.362112613
589	0.3620659988
590	0.362019356
591	0.3619711718
592	0.3619502125
593	0.3618767442
594	0.3618012192
595	0.3617520766
596	0.3616983225
597	0.3616016706
598	0.3615427759
599	0.3614854552
600	0.3614741505
601	0.3614288453
602	0.3613908
603	0.3613612743
604	0.3613438162
605	0.3613029549
606	0.3612321511
607	0.3611884981
608	0.361131172
609	0.3611034242
610	0.3610666088
611	0.3610349293
612	0.3610085673
613	0.3609431689
614	0.3609190185
615	0.3609047853
616	0.3608713822
617	0.3608439407
618	0.3608126001
619	0.3607754672
620	0.3607549871
621	0.3606847455
622	0.3606478333
623	0.3606105883
624	0.3605350259
625	0.3605000628
626	0.3604499674
627	0.3604152997
628	0.3604008847
629	0.3603393205
630	0.3603134595
631	0.3602814277
632	0.360250503
633	0.360217737
634	0.3601952167
635	0.3600698828
636	0.3600011842
637	0.3599591067
638	0.3599238923
639	0.359882142
640	0.3598401444
641	0.3597977356
642	0.359754504
643	0.3596780995
644	0.3596098494
645	0.3595502693
646	0.359523139
647	0.3594827505
648	0.3594388471
649	0.3594174587
650	0.3593683402
651	0.3593284788
652	0.3592896246
653	0.3592349257
654	0.3592066212
655	0.3591585315
656	0.3591184467
657	0.359090123
658	0.3590293177
659	0.3589729771
660	0.3589447072
661	0.3589061734
662	0.3588847025
663	0.3588360715
664	0.3587868045
665	0.3587611072
666	0.3587172238
667	0.3586964404
668	0.3586633928
669	0.3586197919
670	0.3585808646
671	0.3585360363
672	0.3584997274
673	0.3583935516
674	0.3583339732
675	0.3583064983
676	0.3582882209
677	0.3581870558
678	0.3581667306
679	0.3581028996
680	0.3580780211
681	0.3580638507
682	0.3580183689
683	0.3579905659
684	0.3579769137
685	0.3579458195
686	0.3578809828
687	0.3578228778
688	0.3577604318
689	0.3577116907
690	0.3576898489
691	0.3576652786
692	0.3576468651
693	0.3576008767
694	0.3575595768
695	0.3575211227
696	0.3574925566
697	0.3574762759
698	0.357420182
699	0.357358992
700	0.3573105003
701	0.3572613508
702	0.3572453898
703	0.357227483
704	0.3571954459
705	0.3571830495
706	0.3571571683
707	0.3571213554
708	0.3570867593
709	0.3570765877
710	0.3570296475
711	0.3569720834
712	0.3569369491
713	0.356864633
714	0.3568617719
715	0.3568280191
716	0.3568064054
717	0.356785012
718	0.3567379131
719	0.3566785165
720	0.3566457304
721	0.3565994201
722	0.3565774668
723	0.3565399224
724	0.3565070654
725	0.356493073
726	0.3564329683
727	0.3564261008
728	0.3563898522
729	0.356332424
730	0.3563008032
731	0.3562816092
732	0.3562687506
733	0.3562475839
734	0.3562270507
735	0.3561748818
736	0.3561500309
737	0.3561060224
738	0.3560786106
739	0.3560427047
740	0.3560030781
741	0.355994629
742	0.3559358328
743	0.3559196676
744	0.355894014
745	0.3558499197
746	0.3558262921
747	0.355792731
748	0.3557612252
749	0.3556981342
750	0.3556745655
751	0.3556066618
752	0.3555876562
753	0.3555030474
754	0.3554735542
755	0.3554303969
756	0.3553870204
757	0.3553686142
758	0.3553378203
759	0.355315939
760	0.355267168
761	0.3552221761
762	0.3551871943
763	0.3551623223
764	0.3551442166
765	0.3551241457
766	0.3550959495
767	0.3550497962
768	0.3550391605
769	0.3550170386
770	0.3549745594
771	0.3549353288
772	0.3548809057
773	0.3548400788
774	0.3548150528
775	0.3547866198
776	0.354773263
777	0.3547518057
778	0.3547221389
779	0.3546948366
780	0.3546499103
781	0.354620304
782	0.3545983973
783	0.3545444101
784	0.3545248539
785	0.3544726579
786	0.3544435098
787	0.3543910336
788	0.3543620773
789	0.3543461444
790	0.3543142778
791	0.3542852878
792	0.3542428728
793	0.3542014491
794	0.3541686304
795	0.3541281567
796	0.3541132129
797	0.35409259
798	0.3540696871
799	0.3540529692
800	0.3540051928
801	0.3539619112
802	0.3539427599
803	0.3538835469
804	0.3538626503
805	0.3538508166
806	0.3538108287
807	0.3537716792
808	0.3537548598
809	0.3537187759
810	0.3536685633
811	0.3536443709
812	0.3536232173
813	0.3535703918
814	0.3535517617
815	0.3535265856
816	0.3535021653
817	0.3534141852
818	0.353378699
819	0.3533516694
820	0.3533267202
821	0.3532899308
822	0.3532783835
823	0.3532566375
824	0.3532476007
825	0.3532165463
826	0.3531769147
827	0.3531432998
828	0.3531303125
829	0.3531004295
830	0.3530749552
831	0.3530453892
832	0.3530168174
833	0.352984187
834	0.3529636496
835	0.3529441044
836	0.3529202511
837	0.3529144587
838	0.3528817617
839	0.3528536308
840	0.3528304257
841	0.3528100971
842	0.3527898962
843	0.3527695481
844	0.3527445085
845	0.3526873273
846	0.3526724863
847	0.3526529982
848	0.3526367666
849	0.3526292449
850	0.3526166742
851	0.3525950494
852	0.352584565
853	0.3525364126
854	0.3524850074
855	0.3524229981
856	0.3523637435
857	0.3523209095
858	0.3523064145
859	0.3522778384
860	0.3522414724
861	0.3522225113
862	0.3521781497
863	0.352102466
864	0.3520851115
865	0.3520569907
866	0.3519735045
867	0.3519379602
868	0.3519203983
869	0.3518854281
870	0.3518398302
871	0.3518169064
872	0.3517918618
873	0.3517440219
874	0.3517178362
875	0.3516970729
876	0.3516867703
877	0.3516755875
878	0.3516449084
879	0.3515983751
880	0.3515737209
881	0.3515572764
882	0.3515052917
883	0.3514774848
884	0.3514542616
885	0.3514272719
886	0.3513963601
887	0.3513826135
888	0.3513650036
889	0.3513001005
890	0.3512607062
891	0.3512404741
892	0.3512041898
893	0.3511822766
894	0.3511425928
895	0.3511250212
896	0.3510820873
897	0.3510455463
898	0.3510284977
899	0.3510006802
900	0.3509780454
901	0.3509390644
902	0.350912332
903	0.3508831828
904	0.3508724451
905	0.35084876
906	0.3508358421
907	0.3507882806
908	0.3507508378
909	0.3506889871
910	0.3506393057
911	0.3506281032
912	0.3505863449
913	0.3505714644
914	0.3505677712
915	0.3505412662
916	0.3505199295
917	0.3504749546
918	0.3504538072
919	0.350443411
920	0.3503797108
921	0.3503680496
922	0.3503204906
923	0.3502885986
924	0.3502611443
925	0.3502422062
926	0.3502030672
927	0.3501857299
928	0.3501289856
929	0.3501107668
930	0.3500948866
931	0.3500651032
932	0.3500455066
933	0.3500252407
934	0.3500103824
935	0.3500035116
936	0.3499935258
937	0.3499724904
938	0.3499578179
939	0.3499381122
940	0.3499116764
941	0.349871417
942	0.3498286974
943	0.3498139878
944	0.3497939706
945	0.3497765696
946	0.3497629532
947	0.3497353326
948	0.3497272687
949	0.3497088468
950	0.3496880259
951	0.3496635048
952	0.34962944
953	0.3496075342
954	0.3495789174
955	0.3495651047
956	0.3495435136
957	0.3494753832
958	0.3494481033
959	0.3494363566
960	0.3494248668
961	0.3494194425
962	0.3494062747
963	0.3493833991
964	0.3493446655
965	0.3493098584
966	0.3492684616
967	0.349240761
968	0.3492278971
969	0.3491979725
970	0.3491823266
971	0.3491626152
972	0.3491287838
973	0.3491178474
974	0.3491060377
975	0.3490636283
976	0.3490396928
977	0.3490071973
978	0.3489669977
979	0.3489069963
980	0.3488984695
981	0.3488918214
982	0.3488610359
983	0.3488462065
984	0.3488219757
985	0.3488067255
986	0.348797823
987	0.3487839397
988	0.3487472521
989	0.3487283796
990	0.3487020024
991	0.3486648764
992	0.3486412323
993	0.3486200482
994	0.348596109
995	0.3485722882
996	0.3485552663
997	0.3485187845
998	0.3484977058
999	0.3484719475
